id,日期,開盤,最高,最低,收盤
1,1999-01-05,6310.41,6310.41,6111.64,6152.43
2,1999-01-06,6082.02,6280.93,5988.06,6199.91
3,1999-01-07,6280.38,6409.55,6181.62,6404.31
4,1999-01-08,6371.34,6492.87,6371.34,6421.75
5,1999-01-11,6472.02,6492.9,6392.49,6406.99
6,1999-01-12,6429.54,6441.79,6357.11,6363.89
7,1999-01-13,6293.59,6365.6,6292.55,6319.34
8,1999-01-14,6295.99,6295.99,6187.32,6241.32
9,1999-01-15,6190.95,6454.6,6176.09,6454.6
10,1999-01-16,6529.77,6577.92,6483.3,6483.3
11,1999-01-18,6436.17,6477.44,6377.25,6377.25
12,1999-01-19,6358.88,6421.78,6323.89,6343.36
13,1999-01-20,6355.15,6360.75,6292.0,6310.71
14,1999-01-21,6332.68,6424.54,6330.65,6332.2
15,1999-01-22,6303.86,6328.31,6221.24,6228.95
16,1999-01-25,6142.73,6161.8,6018.98,6033.21
17,1999-01-26,6083.57,6115.64,5987.42,6115.64
18,1999-01-27,6161.78,6204.46,6129.4,6138.87
19,1999-01-28,6110.82,6145.77,6059.54,6063.41
20,1999-01-29,6090.44,6090.44,5975.48,5984.0
21,1999-01-30,5949.45,6076.41,5949.45,5998.32
22,1999-02-01,5948.35,5948.35,5862.79,5862.79
23,1999-02-02,5892.93,5892.93,5726.25,5749.64
24,1999-02-03,5658.01,5772.89,5596.58,5743.86
25,1999-02-04,5711.8,5747.47,5511.85,5514.89
26,1999-02-05,5506.55,5625.65,5422.66,5474.79
27,1999-02-06,5572.69,5710.18,5515.67,5710.18
28,1999-02-08,5784.14,5869.15,5757.61,5822.98
29,1999-02-09,5798.92,5798.92,5723.73,5723.73
30,1999-02-10,5669.23,5811.33,5669.23,5798.0
31,1999-02-20,6040.57,6086.76,5977.01,6072.33
32,1999-02-22,6216.01,6343.84,6168.94,6313.63
33,1999-02-23,6383.04,6383.04,6180.94,6180.94
34,1999-02-24,6167.84,6267.12,6158.35,6238.87
35,1999-02-25,6291.89,6362.31,6240.82,6275.53
36,1999-02-26,6256.8,6318.52,6225.94,6318.52
37,1999-03-01,6324.4,6345.93,6276.4,6312.25
38,1999-03-02,6343.3,6343.3,6228.53,6263.54
39,1999-03-03,6262.69,6420.91,6262.69,6403.14
40,1999-03-04,6460.58,6467.51,6385.7,6393.74
41,1999-03-05,6426.21,6457.94,6339.99,6383.09
42,1999-03-06,6478.34,6498.05,6416.82,6421.73
43,1999-03-08,6436.97,6436.97,6388.51,6431.96
44,1999-03-09,6447.41,6530.74,6447.41,6493.43
45,1999-03-10,6482.93,6513.91,6460.65,6486.61
46,1999-03-11,6532.78,6537.35,6436.8,6436.8
47,1999-03-12,6444.75,6469.97,6412.47,6462.73
48,1999-03-15,6478.57,6598.32,6447.95,6598.32
49,1999-03-16,6698.45,6718.99,6616.64,6672.23
50,1999-03-17,6739.82,6805.03,6707.6,6757.07
51,1999-03-18,6834.74,6895.01,6791.91,6895.01
52,1999-03-19,6989.27,7021.96,6915.12,6997.29
53,1999-03-20,7006.66,7050.28,6957.83,6993.38
54,1999-03-22,7023.14,7057.97,6982.54,7043.23
55,1999-03-23,7133.03,7133.03,6945.48,6945.48
56,1999-03-24,6877.49,6931.9,6845.8,6889.42
57,1999-03-25,6961.23,6969.37,6878.41,6941.38
58,1999-03-26,7015.11,7052.44,6973.81,7033.25
59,1999-03-29,7047.24,7047.24,6901.68,6901.68
60,1999-03-30,6964.41,6964.41,6831.94,6898.66
61,1999-03-31,6882.81,6936.72,6839.95,6881.72
62,1999-04-01,6876.64,7018.68,6876.64,7018.68
63,1999-04-02,7098.11,7232.51,7098.11,7232.51
64,1999-04-03,7276.29,7276.29,7177.7,7182.2
65,1999-04-06,7229.94,7229.94,7163.99,7163.99
66,1999-04-07,7190.57,7190.57,7110.59,7135.89
67,1999-04-08,7204.69,7312.9,7195.42,7273.41
68,1999-04-09,7362.05,7381.64,7265.7,7265.7
69,1999-04-12,7262.36,7303.9,7189.45,7242.4
70,1999-04-13,7291.15,7341.74,7280.15,7337.85
71,1999-04-14,7390.61,7445.37,7383.88,7398.65
72,1999-04-15,7415.67,7498.17,7344.7,7498.17
73,1999-04-16,7590.92,7590.92,7414.62,7466.82
74,1999-04-17,7480.43,7584.93,7479.12,7581.5
75,1999-04-19,7633.73,7683.94,7614.61,7623.18
76,1999-04-20,7580.39,7671.48,7539.1,7627.74
77,1999-04-21,7703.76,7703.76,7456.18,7474.16
78,1999-04-22,7540.52,7548.45,7447.52,7494.6
79,1999-04-23,7602.56,7659.59,7567.75,7612.8
80,1999-04-26,7641.08,7659.84,7566.05,7629.09
81,1999-04-27,7664.42,7664.42,7527.1,7550.13
82,1999-04-28,7563.25,7577.72,7482.5,7496.61
83,1999-04-29,7396.32,7428.52,7281.3,7289.62
84,1999-04-30,7316.05,7371.17,7224.22,7371.17
85,1999-05-03,7393.58,7403.68,7312.47,7383.26
86,1999-05-04,7433.52,7588.04,7433.52,7588.04
87,1999-05-05,7594.28,7644.45,7554.19,7572.16
88,1999-05-06,7619.44,7664.89,7545.33,7560.05
89,1999-05-07,7538.73,7582.34,7456.99,7469.33
90,1999-05-10,7441.28,7484.37,7399.92,7484.37
91,1999-05-11,7530.27,7584.57,7474.25,7474.45
92,1999-05-12,7516.13,7532.07,7423.38,7448.41
93,1999-05-13,7458.02,7499.63,7411.14,7416.2
94,1999-05-14,7470.19,7592.98,7470.19,7592.53
95,1999-05-15,7564.72,7622.74,7538.5,7576.64
96,1999-05-17,7627.3,7705.63,7587.76,7599.76
97,1999-05-18,7621.19,7658.67,7484.06,7585.51
98,1999-05-19,7583.4,7634.73,7542.78,7614.6
99,1999-05-20,7665.66,7701.26,7608.88,7608.88
100,1999-05-21,7639.61,7696.97,7594.76,7606.69
101,1999-05-24,7629.71,7644.97,7538.52,7588.23
102,1999-05-25,7544.31,7553.35,7413.98,7417.03
103,1999-05-26,7361.84,7460.87,7348.88,7426.63
104,1999-05-27,7488.06,7510.42,7440.72,7469.01
105,1999-05-28,7463.29,7465.8,7377.06,7387.37
106,1999-05-29,7447.29,7483.93,7398.68,7419.7
107,1999-05-31,7438.97,7449.1,7310.52,7316.57
108,1999-06-01,7324.42,7397.62,7313.12,7397.62
109,1999-06-02,7426.06,7493.68,7426.06,7488.03
110,1999-06-03,7552.36,7604.51,7552.36,7572.91
111,1999-06-04,7613.15,7628.14,7576.98,7590.44
112,1999-06-05,7649.47,7684.85,7618.8,7639.3
113,1999-06-07,7693.25,7818.09,7688.84,7802.69
114,1999-06-08,7900.93,7940.38,7858.61,7892.13
115,1999-06-09,7928.24,7980.11,7900.89,7957.71
116,1999-06-10,7993.61,8058.18,7985.48,7996.76
117,1999-06-11,8008.96,8028.39,7937.77,7979.4
118,1999-06-14,8023.71,8039.64,7926.53,7973.58
119,1999-06-15,8091.81,8109.28,7940.9,7960.0
120,1999-06-16,7994.33,8059.02,7924.41,8059.02
121,1999-06-17,8155.44,8290.25,8155.44,8274.36
122,1999-06-21,8361.05,8483.95,8308.43,8413.48
123,1999-06-22,8482.38,8640.11,8446.0,8608.91
124,1999-06-23,8607.54,8661.39,8492.32,8492.32
125,1999-06-24,8497.9,8627.88,8433.74,8589.31
126,1999-06-25,8469.12,8497.6,8251.65,8265.96
127,1999-06-28,8281.7,8341.85,8240.35,8281.45
128,1999-06-29,8377.68,8514.27,8377.68,8514.27
129,1999-06-30,8544.26,8576.78,8444.59,8467.37
130,1999-07-02,8508.79,8642.62,8508.79,8572.09
131,1999-07-03,8655.11,8710.71,8538.14,8563.55
132,1999-07-05,8588.15,8668.15,8535.03,8593.35
133,1999-07-06,8631.25,8663.92,8446.19,8454.49
134,1999-07-07,8464.75,8500.61,8390.99,8470.07
135,1999-07-08,8533.87,8610.9,8525.43,8592.43
136,1999-07-09,8624.38,8663.06,8538.82,8550.27
137,1999-07-12,8582.89,8592.05,8455.14,8463.9
138,1999-07-13,8441.14,8441.14,8194.97,8204.5
139,1999-07-14,8162.72,8249.16,7792.54,7888.66
140,1999-07-15,7868.47,7964.99,7737.38,7918.04
141,1999-07-16,7987.26,8024.19,7402.53,7411.58
142,1999-07-17,7224.23,7368.5,7068.88,7366.23
143,1999-07-19,7364.88,7455.22,7192.99,7386.89
144,1999-07-20,7543.61,7826.49,7543.61,7806.85
145,1999-07-21,7704.24,7830.76,7640.32,7786.65
146,1999-07-22,7743.42,7798.94,7675.25,7678.67
147,1999-07-23,7634.82,7735.52,7619.41,7724.52
148,1999-07-26,7702.08,7730.6,7590.39,7595.71
149,1999-07-27,7520.79,7538.53,7329.74,7367.97
150,1999-07-28,7485.25,7533.87,7433.53,7484.5
151,1999-07-29,7513.08,7513.08,7343.58,7359.37
152,1999-07-30,7169.35,7420.84,7150.04,7413.11
153,1999-07-31,7397.48,7467.33,7321.96,7326.75
154,1999-08-02,7328.54,7355.15,7176.54,7195.94
155,1999-08-03,7114.65,7191.96,6968.54,7175.19
156,1999-08-04,7181.08,7274.66,7105.91,7110.8
157,1999-08-05,7038.54,7078.58,6941.65,6959.73
158,1999-08-06,6988.51,7031.8,6817.58,6823.52
159,1999-08-07,6820.95,7070.67,6771.75,7049.74
160,1999-08-09,7066.76,7110.82,7017.86,7028.01
161,1999-08-10,7051.33,7269.6,7030.26,7269.6
162,1999-08-11,7276.96,7321.0,7206.02,7228.68
163,1999-08-12,7294.53,7393.89,7277.81,7330.24
164,1999-08-13,7530.52,7683.03,7504.88,7626.05
165,1999-08-16,7748.15,8018.47,7748.15,8018.47
166,1999-08-17,8006.3,8101.41,7924.01,8083.43
167,1999-08-18,8105.07,8155.74,7993.1,7993.71
168,1999-08-19,7953.93,8005.43,7916.43,7964.67
169,1999-08-20,7976.84,8135.66,7975.52,8117.42
170,1999-08-21,8219.57,8278.3,8153.57,8153.57
171,1999-08-23,8168.77,8193.76,8086.27,8119.98
172,1999-08-24,8212.38,8255.48,7984.39,7984.39
173,1999-08-25,7999.13,8133.95,7954.35,8127.09
174,1999-08-26,8171.28,8240.17,8077.18,8097.57
175,1999-08-27,8082.91,8135.24,8027.86,8053.97
176,1999-08-30,8054.83,8159.56,8041.42,8071.36
177,1999-08-31,8075.8,8196.66,8072.45,8157.73
178,1999-09-01,8225.61,8360.84,8225.61,8273.33
179,1999-09-02,8349.03,8414.6,8214.61,8226.15
180,1999-09-03,8208.7,8217.24,8073.97,8073.97
181,1999-09-04,8187.49,8215.51,8015.41,8065.11
182,1999-09-06,8072.77,8135.37,8006.25,8130.28
183,1999-09-07,8162.8,8196.38,7933.28,7945.76
184,1999-09-08,7946.67,8033.31,7891.66,7973.3
185,1999-09-09,7981.28,8048.14,7955.81,8025.02
186,1999-09-10,8085.36,8175.36,8085.36,8161.46
187,1999-09-13,8201.0,8250.73,8159.19,8178.69
188,1999-09-14,8195.61,8200.53,8054.87,8092.02
189,1999-09-15,8077.41,8117.97,7970.07,7971.04
190,1999-09-16,7911.88,8003.4,7897.56,7968.9
191,1999-09-17,7987.74,8043.51,7903.3,7916.92
192,1999-09-18,7995.3,8069.7,7985.12,8016.93
193,1999-09-20,8028.42,8028.42,7947.94,7972.14
194,1999-09-27,7789.84,7789.84,7755.86,7759.93
195,1999-09-28,7636.47,7636.47,7537.47,7577.85
196,1999-09-29,7515.48,7615.45,7415.58,7615.45
197,1999-09-30,7598.96,7680.32,7566.99,7598.79
198,1999-10-01,7633.08,7704.76,7613.92,7694.99
199,1999-10-02,7715.77,7739.5,7587.21,7659.55
200,1999-10-04,7668.69,7715.38,7592.34,7685.48
201,1999-10-05,7743.72,7763.61,7545.72,7557.01
202,1999-10-06,7526.91,7546.78,7462.45,7501.63
203,1999-10-07,7558.09,7656.85,7558.09,7612.0
204,1999-10-08,7610.29,7634.76,7542.47,7552.98
205,1999-10-11,7555.94,7642.26,7554.07,7607.11
206,1999-10-12,7658.21,7840.57,7658.21,7835.37
207,1999-10-13,7806.92,7890.86,7784.44,7836.94
208,1999-10-14,7777.7,7879.91,7773.21,7879.91
209,1999-10-15,7923.19,7959.52,7818.42,7819.09
210,1999-10-16,7721.69,7838.39,7714.03,7829.39
211,1999-10-18,7804.8,7818.6,7726.62,7745.26
212,1999-10-19,7759.93,7798.16,7684.3,7692.96
213,1999-10-20,7698.62,7721.15,7653.85,7666.64
214,1999-10-21,7766.74,7792.72,7645.46,7654.9
215,1999-10-22,7670.33,7691.34,7505.07,7559.63
216,1999-10-25,7583.7,7680.87,7570.71,7680.87
217,1999-10-26,7690.31,7787.38,7667.21,7700.29
218,1999-10-27,7731.17,7780.21,7669.83,7701.22
219,1999-10-28,7729.62,7744.33,7669.49,7681.85
220,1999-10-29,7751.51,7776.85,7667.81,7706.67
221,1999-10-30,7778.45,7859.55,7766.62,7854.85
222,1999-11-01,7871.07,7874.26,7808.9,7814.89
223,1999-11-02,7789.35,7805.82,7687.72,7721.59
224,1999-11-03,7729.1,7741.52,7572.11,7580.09
225,1999-11-04,7589.93,7605.95,7460.21,7469.23
226,1999-11-05,7466.63,7498.19,7404.31,7488.26
227,1999-11-06,7526.65,7532.49,7371.51,7376.56
228,1999-11-08,7318.28,7411.73,7261.31,7401.49
229,1999-11-09,7420.05,7430.4,7362.69,7362.69
230,1999-11-10,7356.73,7506.46,7355.38,7401.81
231,1999-11-11,7464.99,7549.29,7464.99,7532.22
232,1999-11-15,7575.61,7577.56,7492.48,7545.03
233,1999-11-16,7570.98,7646.25,7554.17,7606.2
234,1999-11-17,7661.25,7687.04,7612.19,7645.78
235,1999-11-18,7633.61,7745.9,7626.05,7718.06
236,1999-11-19,7787.2,7858.4,7756.34,7770.81
237,1999-11-20,7890.51,7944.49,7864.57,7900.34
238,1999-11-22,7967.05,8088.53,7944.02,8052.31
239,1999-11-23,8105.12,8152.33,8007.17,8046.19
240,1999-11-24,7950.12,8034.73,7913.21,7921.85
241,1999-11-25,7919.68,7933.82,7808.92,7904.53
242,1999-11-26,7913.91,7955.13,7558.4,7595.44
243,1999-11-29,7706.12,7823.9,7688.58,7823.9
244,1999-11-30,7857.05,7884.23,7707.17,7720.87
245,1999-12-01,7702.18,7767.08,7684.42,7766.2
246,1999-12-02,7802.83,7872.58,7773.75,7806.26
247,1999-12-03,7880.49,7957.09,7858.58,7933.17
248,1999-12-04,8039.64,8087.49,7946.11,7964.49
249,1999-12-06,7982.74,7982.74,7859.76,7894.46
250,1999-12-07,7899.85,7907.01,7812.29,7827.05
251,1999-12-08,7826.85,7910.76,7798.92,7811.02
252,1999-12-09,7797.61,7862.37,7728.77,7738.84
253,1999-12-10,7754.57,7767.99,7687.36,7733.77
254,1999-12-13,7782.48,7883.61,7782.48,7883.61
255,1999-12-14,7921.2,7932.47,7843.58,7850.14
256,1999-12-15,7832.26,7895.22,7831.87,7859.89
257,1999-12-16,7891.08,7904.84,7721.5,7739.76
258,1999-12-17,7762.88,7792.99,7684.64,7723.22
259,1999-12-18,7748.69,7841.5,7748.69,7797.87
260,1999-12-20,7821.95,7827.49,7741.84,7782.94
261,1999-12-21,7803.93,7946.05,7803.93,7934.26
262,1999-12-22,8033.37,8079.57,7979.72,8002.76
263,1999-12-23,8043.88,8117.73,8013.18,8083.49
264,1999-12-24,8144.84,8225.39,8144.84,8219.45
265,1999-12-27,8274.83,8415.07,8253.79,8415.07
266,1999-12-28,8451.72,8480.5,8376.29,8448.84
267,2000-01-04,8644.91,8803.61,8642.5,8756.55
268,2000-01-05,8690.6,8867.68,8668.02,8849.87
269,2000-01-06,8876.59,9023.99,8863.91,8922.03
270,2000-01-07,8856.87,8940.77,8739.43,8845.47
271,2000-01-10,8918.6,9126.02,8891.79,9102.6
272,2000-01-11,9199.1,9332.52,8890.45,8927.03
273,2000-01-12,8964.78,9144.65,8937.31,9144.65
274,2000-01-13,9168.73,9237.85,9095.35,9107.19
275,2000-01-14,9172.17,9236.85,8967.56,9023.24
276,2000-01-15,9155.74,9210.37,9105.02,9191.37
277,2000-01-17,9256.57,9384.52,9230.39,9315.43
278,2000-01-18,9346.98,9353.89,9210.36,9250.19
279,2000-01-19,9255.7,9335.73,9150.86,9151.44
280,2000-01-20,9175.27,9211.34,9077.7,9136.95
281,2000-01-21,9170.41,9305.27,9170.41,9255.94
282,2000-01-24,9327.98,9425.87,9327.98,9387.07
283,2000-01-25,9411.1,9413.21,9308.01,9372.37
284,2000-01-26,9469.74,9617.32,9469.74,9581.96
285,2000-01-27,9639.86,9733.26,9618.3,9628.98
286,2000-01-28,9600.45,9753.72,9600.45,9696.91
287,2000-01-29,9618.78,9677.55,9585.82,9636.38
288,2000-01-31,9653.24,9749.51,9613.8,9744.89
289,2000-02-01,9829.68,9901.8,9800.63,9856.39
290,2000-02-09,10039.67,10137.24,9932.07,10008.88
291,2000-02-10,10008.38,10098.3,9957.66,10057.67
292,2000-02-11,10125.51,10227.33,10096.54,10128.67
293,2000-02-14,10140.65,10167.71,9963.5,9971.45
294,2000-02-15,9982.27,10014.25,9853.86,9957.74
295,2000-02-16,10010.87,10099.97,10010.87,10064.49
296,2000-02-17,10089.89,10267.46,10089.89,10202.2
297,2000-02-18,10266.79,10393.59,10062.23,10096.38
298,2000-02-19,10084.29,10168.18,10031.92,10161.05
299,2000-02-21,10165.24,10212.99,9912.67,9912.67
300,2000-02-22,9860.12,9917.13,9596.68,9731.93
301,2000-02-23,9738.19,9803.81,9623.46,9642.26
302,2000-02-24,9725.3,9781.31,9582.0,9599.17
303,2000-02-25,9620.92,9639.12,9407.79,9432.49
304,2000-02-29,9525.65,9581.0,9410.11,9435.94
305,2000-03-01,9572.24,9689.1,9572.24,9689.1
306,2000-03-02,9757.08,9781.27,9543.58,9543.82
307,2000-03-03,9557.66,9650.74,9547.4,9588.03
308,2000-03-04,9668.21,9712.24,9505.93,9517.97
309,2000-03-06,9519.8,9519.8,9356.58,9367.91
310,2000-03-07,9340.49,9440.32,9286.39,9380.07
311,2000-03-08,9402.7,9482.18,9379.29,9389.49
312,2000-03-09,9453.7,9587.27,9453.7,9587.27
313,2000-03-10,9662.61,9712.39,9428.99,9429.6
314,2000-03-13,9279.9,9279.9,8807.36,8811.95
315,2000-03-14,8728.3,8871.83,8598.07,8835.58
316,2000-03-15,8794.3,8905.82,8638.24,8640.03
317,2000-03-16,8472.54,8714.06,8250.46,8682.76
318,2000-03-17,8700.99,8799.09,8610.58,8763.27
319,2000-03-20,8509.32,8536.05,8483.41,8536.05
320,2000-03-21,8438.24,9021.89,8355.89,9004.48
321,2000-03-22,9009.25,9201.15,8908.32,9069.39
322,2000-03-23,9198.45,9567.89,9198.45,9533.87
323,2000-03-24,9565.24,9571.28,9405.14,9482.64
324,2000-03-27,9531.91,9858.57,9531.91,9807.57
325,2000-03-28,9884.18,9985.15,9772.54,9856.6
326,2000-03-29,9852.48,9914.14,9794.48,9805.69
327,2000-03-30,9827.85,10071.26,9827.85,9931.94
328,2000-03-31,9890.89,10011.96,9798.61,9854.95
329,2000-04-01,9892.78,10050.43,9816.22,10050.43
330,2000-04-05,9923.74,10238.11,9923.74,10186.17
331,2000-04-06,10225.77,10328.98,9969.28,9969.28
332,2000-04-07,10035.26,10128.26,9913.38,9921.03
333,2000-04-08,10009.75,10061.03,9894.26,9934.57
334,2000-04-10,9962.65,10168.72,9956.65,10127.48
335,2000-04-11,10104.87,10194.91,10059.41,10068.05
336,2000-04-12,10067.27,10149.32,9909.03,9911.39
337,2000-04-13,9720.67,9746.99,9564.72,9662.6
338,2000-04-14,9517.45,9662.12,9374.49,9374.61
339,2000-04-15,9086.36,9086.36,8780.08,8866.8
340,2000-04-17,8848.16,9013.14,8796.77,8993.68
341,2000-04-18,9220.96,9389.35,9220.96,9307.03
342,2000-04-19,9435.02,9477.67,9104.4,9104.4
343,2000-04-20,9084.86,9175.75,8943.89,9109.05
344,2000-04-21,9130.32,9243.04,9105.31,9120.48
345,2000-04-24,9128.95,9128.95,8808.09,8808.09
346,2000-04-25,8711.68,8923.27,8672.41,8921.12
347,2000-04-26,8992.62,9022.77,8465.76,8535.96
348,2000-04-27,8587.03,8633.39,8458.4,8541.95
349,2000-04-28,8595.01,8860.5,8478.48,8824.36
350,2000-04-29,8835.17,8906.67,8725.38,8777.35
351,2000-05-02,8836.83,8838.78,8636.27,8638.75
352,2000-05-03,8537.35,8587.0,8395.23,8420.0
353,2000-05-04,8444.07,8655.2,8338.92,8425.38
354,2000-05-05,8389.9,8699.02,8343.37,8698.53
355,2000-05-06,8699.48,8774.25,8620.58,8657.13
356,2000-05-08,8669.47,8742.69,8538.5,8616.18
357,2000-05-09,8607.65,8660.77,8566.64,8635.84
358,2000-05-10,8693.87,8749.62,8559.87,8559.87
359,2000-05-11,8427.34,8440.78,8281.68,8349.91
360,2000-05-12,8472.82,8603.87,8454.72,8560.44
361,2000-05-15,8639.94,8639.94,8461.27,8465.02
362,2000-05-16,8534.18,8733.46,8496.44,8727.82
363,2000-05-17,8885.24,9131.86,8885.24,9085.74
364,2000-05-18,9040.33,9135.13,9002.03,9087.21
365,2000-05-19,9034.41,9146.59,9030.57,9119.77
366,2000-05-20,9093.14,9167.78,8700.19,8820.35
367,2000-05-22,8903.32,8967.36,8800.37,8807.57
368,2000-05-23,8811.44,8820.73,8634.73,8671.01
369,2000-05-24,8496.06,8623.12,8470.56,8500.41
370,2000-05-25,8609.8,8643.66,8418.5,8438.1
371,2000-05-26,8397.01,8578.32,8386.37,8559.46
372,2000-05-29,8593.62,8701.61,8571.35,8588.25
373,2000-05-30,8668.7,8764.42,8641.43,8764.42
374,2000-05-31,8951.11,8969.65,8879.43,8939.52
375,2000-06-01,8936.43,8961.54,8815.43,8842.63
376,2000-06-02,8979.78,9026.86,8880.98,8883.45
377,2000-06-03,9017.03,9059.88,8911.89,8935.64
378,2000-06-05,8961.36,8975.99,8894.82,8958.21
379,2000-06-07,8943.63,9116.24,8943.63,9115.47
380,2000-06-08,9151.31,9209.48,9055.72,9067.88
381,2000-06-09,9113.07,9136.75,9011.2,9036.66
382,2000-06-12,9065.22,9083.85,8935.47,8955.44
383,2000-06-13,8905.45,8984.13,8879.52,8891.09
384,2000-06-14,8978.65,9014.27,8911.38,8935.23
385,2000-06-15,8932.59,8968.99,8826.69,8844.97
386,2000-06-16,8852.32,8893.59,8791.67,8832.15
387,2000-06-17,8827.35,8871.9,8753.67,8770.8
388,2000-06-19,8786.37,8799.68,8653.62,8751.1
389,2000-06-20,8852.97,8861.03,8688.72,8690.66
390,2000-06-21,8733.2,8742.23,8631.64,8637.6
391,2000-06-22,8623.4,8771.77,8616.85,8771.77
392,2000-06-23,8742.21,8785.53,8682.02,8684.93
393,2000-06-26,8672.8,8675.47,8507.42,8529.56
394,2000-06-27,8569.35,8587.4,8412.01,8424.17
395,2000-06-28,8429.05,8476.89,8248.95,8365.63
396,2000-06-29,8433.9,8440.84,8112.08,8120.89
397,2000-06-30,8159.41,8290.63,8050.02,8265.09
398,2000-07-03,8260.95,8368.56,8138.72,8297.77
399,2000-07-04,8329.77,8333.57,8024.55,8052.54
400,2000-07-05,8079.28,8438.72,7988.54,8421.74
401,2000-07-06,8291.27,8383.69,8277.94,8289.39
402,2000-07-07,8318.47,8370.56,8173.08,8173.08
403,2000-07-10,8209.86,8211.35,8015.38,8154.67
404,2000-07-11,8153.81,8262.64,8116.02,8158.63
405,2000-07-12,8168.56,8180.06,8025.19,8059.75
406,2000-07-13,8101.38,8304.01,8101.38,8267.66
407,2000-07-14,8309.67,8530.5,8309.67,8497.13
408,2000-07-15,8569.4,8605.04,8483.63,8518.13
409,2000-07-17,8601.26,8643.21,8564.97,8585.52
410,2000-07-18,8582.75,8582.75,8367.05,8368.78
411,2000-07-19,8275.48,8423.59,8270.57,8411.88
412,2000-07-20,8355.21,8406.05,8210.53,8219.53
413,2000-07-21,8273.04,8300.68,8058.14,8167.37
414,2000-07-24,8132.39,8177.7,8064.2,8064.2
415,2000-07-25,7984.79,8119.63,7900.39,7900.39
416,2000-07-26,7944.9,8113.27,7922.81,7961.54
417,2000-07-27,7932.86,7959.96,7723.44,7956.28
418,2000-07-28,7861.04,8147.79,7861.04,8122.11
419,2000-07-29,8086.63,8178.74,8069.01,8143.93
420,2000-07-31,8154.99,8165.12,8068.09,8114.92
421,2000-08-01,8171.58,8192.73,7984.65,7984.65
422,2000-08-02,7985.83,8044.87,7910.28,7916.85
423,2000-08-03,7888.32,7912.4,7736.19,7844.93
424,2000-08-04,7881.72,8029.14,7856.6,7925.2
425,2000-08-05,7926.79,7982.71,7834.13,7841.43
426,2000-08-07,7804.0,7809.44,7680.53,7715.99
427,2000-08-08,7751.28,7818.67,7670.28,7797.78
428,2000-08-09,7866.11,8048.14,7866.11,8048.14
429,2000-08-10,8087.1,8105.63,7988.39,8024.69
430,2000-08-11,8012.64,8082.07,7962.05,7974.65
431,2000-08-14,7977.42,7982.13,7838.5,7848.87
432,2000-08-15,7883.84,7913.77,7821.74,7845.69
433,2000-08-16,7870.58,8023.17,7870.58,8003.53
434,2000-08-17,8059.02,8143.25,8000.46,8143.25
435,2000-08-18,8192.3,8276.24,8175.35,8176.82
436,2000-08-19,8195.25,8234.73,8145.94,8209.07
437,2000-08-21,8232.91,8305.67,8216.42,8257.88
438,2000-08-22,8244.42,8244.42,8086.66,8118.05
439,2000-08-24,8162.0,8222.08,8090.18,8098.84
440,2000-08-25,8120.96,8142.47,8014.95,8026.32
441,2000-08-28,7985.45,7985.45,7842.53,7845.87
442,2000-08-29,7769.93,7828.37,7621.13,7817.49
443,2000-08-30,7784.74,7809.35,7543.96,7543.96
444,2000-08-31,7458.34,7661.73,7440.81,7616.98
445,2000-09-01,7659.82,7660.9,7381.01,7420.06
446,2000-09-02,7442.37,7713.03,7442.37,7707.59
447,2000-09-04,7758.54,7814.49,7694.71,7803.02
448,2000-09-05,7829.34,7829.34,7723.14,7785.62
449,2000-09-06,7725.01,7758.45,7605.32,7610.78
450,2000-09-07,7467.94,7520.17,7418.52,7430.93
451,2000-09-08,7457.86,7494.67,7360.5,7367.99
452,2000-09-11,7297.78,7379.85,7295.88,7335.2
453,2000-09-13,7279.36,7407.78,7153.23,7391.66
454,2000-09-14,7348.81,7367.27,7149.48,7152.29
455,2000-09-15,7160.01,7364.46,7120.31,7155.45
456,2000-09-16,7096.49,7129.02,7003.6,7053.29
457,2000-09-18,6990.48,7026.27,6902.54,6910.14
458,2000-09-19,6811.72,6950.04,6712.2,6734.9
459,2000-09-20,6843.95,6910.91,6720.34,6880.09
460,2000-09-21,6818.96,6946.84,6774.47,6920.9
461,2000-09-22,6737.54,6780.27,6600.1,6612.09
462,2000-09-25,6618.16,6726.75,6550.21,6677.46
463,2000-09-26,6647.94,6780.68,6491.34,6749.03
464,2000-09-27,6706.45,6840.38,6668.07,6717.04
465,2000-09-28,6744.79,6799.62,6564.87,6564.87
466,2000-09-29,6571.62,6589.82,6427.12,6432.36
467,2000-09-30,6228.86,6292.55,6155.65,6185.14
468,2000-10-02,6165.64,6248.12,6014.87,6024.07
469,2000-10-03,5943.79,6214.53,5907.04,6143.44
470,2000-10-04,5989.45,5997.92,5946.95,5997.92
471,2000-10-05,5932.79,6047.78,5904.98,6029.65
472,2000-10-06,6037.54,6367.39,6037.54,6353.67
473,2000-10-07,6385.39,6425.69,6289.52,6352.03
474,2000-10-09,6336.3,6338.52,6203.47,6209.42
475,2000-10-11,6070.43,6070.43,6013.53,6040.55
476,2000-10-12,5850.26,5981.67,5763.81,5805.01
477,2000-10-13,5577.86,5876.11,5482.98,5876.11
478,2000-10-16,6060.44,6161.16,5602.72,5630.95
479,2000-10-17,5512.0,5742.68,5512.0,5702.36
480,2000-10-18,5606.53,5626.74,5427.46,5432.23
481,2000-10-19,5261.94,5284.34,5074.44,5081.28
482,2000-10-20,5241.57,5407.06,5241.57,5404.78
